Entry	Reviewed	Gene Names	Proteomes	Gene Ontology (cellular component)
A2RRP1	reviewed	NBAS NAG	UP000005640: Chromosome 2	cytosol [GO:0005829]; Dsl1/NZR complex [GO:0070939]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]
A2RTX5	reviewed	TARS3 TARSL2	UP000005640: Chromosome 15	cytoplasm [GO:0005737]; nucleus [GO:0005634]
A2RU14	reviewed	TMEM218	UP000005640: Chromosome 11	cilium [GO:0005929]; membrane [GO:0016020]
A2RU30	reviewed	TESPA1 KIAA0748 HSPC257	UP000005640: Chromosome 12	COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; TCR signalosome [GO:0036398]
A2RU49	reviewed	HYKK AGPHD1	UP000005640: Chromosome 15	mitochondrial matrix [GO:0005759]
A2RUB1	reviewed	MEIOC C17orf104	UP000005640: Chromosome 17	cytoplasm [GO:0005737]; nucleus [GO:0005634]
A2RUB6	reviewed	CCDC66	UP000005640: Chromosome 3	cell junction [GO:0030054]; centriolar satellite [GO:0034451]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytosol [GO:0005829]; Flemming body [GO:0090543]; microtubule [GO:0005874]; photoreceptor inner segment [GO:0001917]; photoreceptor outer segment [GO:0001750]
A2RUC4	reviewed	TYW5 C2orf60	UP000005640: Chromosome 2	cytoplasm [GO:0005737]
A2RUH7	reviewed	MYBPHL	UP000005640: Chromosome 1	myofilament [GO:0036379]; sarcomere [GO:0030017]
A2VDJ0	reviewed	TMEM131L KIAA0922	UP000005640: Chromosome 4	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; plasma membrane [GO:0005886]
A2VEC9	reviewed	SSPOP KIAA2036 SSPO	UP000005640: Unplaced	extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; plasma membrane protein complex [GO:0098797]
A3KMH1	reviewed	VWA8 KIAA0564	UP000005640: Chromosome 13	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; peroxisome [GO:0005777]
A4D0S4	reviewed	LAMB4	UP000005640: Chromosome 7	basement membrane [GO:0005604]; extracellular region [GO:0005576]
A4D126	reviewed	CRPPA ISPD	UP000005640: Chromosome 7	cytosol [GO:0005829]
A4D161	reviewed	FAM221A C7orf46	UP000005640: Chromosome 7	
A4D1B5	reviewed	GSAP PION	UP000005640: Chromosome 7	trans-Golgi network [GO:0005802]
A4D1E9	reviewed	GTPBP10 OBGH2 UG0751c10	UP000005640: Chromosome 7	chromosome [GO:0005694]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]
A4D1P6	reviewed	WDR91 HSPC049	UP000005640: Chromosome 7	cytosol [GO:0005829]; early endosome membrane [GO:0031901]; endosome membrane [GO:0010008]; late endosome membrane [GO:0031902]
A4D1T9	reviewed	PRSS37 TRYX2	UP000005640: Chromosome 7	acrosomal vesicle [GO:0001669]; extracellular region [GO:0005576]; nucleus [GO:0005634]
A4D256	reviewed	CDC14C CDC14B2 CDC14Bretro	UP000005640: Chromosome 7	centrosome [GO:0005813]; cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; mitotic spindle [GO:0072686]; nucleolus [GO:0005730]; spindle pole [GO:0000922]
A4D2B0	reviewed	MBLAC1	UP000005640: Chromosome 7	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
A4GXA9	reviewed	EME2	UP000005640: Chromosome 16	endodeoxyribonuclease complex [GO:1905347]; Holliday junction resolvase complex [GO:0048476]; nuclear replication fork [GO:0043596]
A4UGR9	reviewed	XIRP2 CMYA3	UP000005640: Chromosome 2	anchoring junction [GO:0070161]; Z disc [GO:0030018]
A5A3E0	reviewed	POTEF A26C1B	UP000005640: Chromosome 2	actin filament [GO:0005884]; axon [GO:0030424]; blood microparticle [GO:0072562]; cell cortex [GO:0005938]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; membrane [GO:0016020]; NuA4 histone acetyltransferase complex [GO:0035267]; synapse [GO:0045202]
A5D8T8	reviewed	CLEC18A MRLP2	UP000005640: Chromosome 16	endoplasmic reticulum [GO:0005783]; endosome [GO:0005768]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]
A5D8V6	reviewed	VPS37C PML39	UP000005640: Chromosome 11	endosome membrane [GO:0010008]; ESCRT I complex [GO:0000813]; extracellular exosome [GO:0070062]; late endosome membrane [GO:0031902]
A5D8V7	reviewed	ODAD3 CCDC151	UP000005640: Chromosome 19	axoneme [GO:0005930]; centriole [GO:0005814]; ciliary basal body [GO:0036064]; ciliary rootlet [GO:0035253]; ciliary tip [GO:0097542]; cilium [GO:0005929]; extracellular region [GO:0005576]; outer dynein arm docking complex [GO:0120228]
A5D8W1	reviewed	CFAP69 C7orf63	UP000005640: Chromosome 7	cytoplasm [GO:0005737]; non-motile cilium [GO:0097730]; sperm midpiece [GO:0097225]
A5LHX3	reviewed	PSMB11	UP000005640: Chromosome 14	cytosol [GO:0005829]; nucleus [GO:0005634]; proteasome core complex, beta-subunit complex [GO:0019774]
A5PKW4	reviewed	PSD EFA6 EFA6A KIAA2011 PSD1 TYL	UP000005640: Chromosome 10	cleavage furrow [GO:0032154]; dendritic spine [GO:0043197]; postsynaptic density, intracellular component [GO:0099092]; ruffle membrane [GO:0032587]
A5PLL7	reviewed	PEDS1 KUA PDES TMEM189	UP000005640: Chromosome 20	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]
A5X5Y0	reviewed	HTR3E	UP000005640: Chromosome 3	neuron projection [GO:0043005]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; serotonin-activated cation-selective channel complex [GO:1904602]; synapse [GO:0045202]; transmembrane transporter complex [GO:1902495]
A5YKK6	reviewed	CNOT1 CDC39 KIAA1007 NOT1 AD-005	UP000005640: Chromosome 16	CCR4-NOT complex [GO:0030014]; CCR4-NOT core complex [GO:0030015]; cytosol [GO:0005829]; extracellular space [GO:0005615]; membrane [GO:0016020]; nucleus [GO:0005634]; P-body [GO:0000932]; peroxisomal membrane [GO:0005778]
A5YM72	reviewed	CARNS1 ATPGD1 KIAA1394	UP000005640: Chromosome 11	cytosol [GO:0005829]
A6BM72	reviewed	MEGF11 KIAA1781 UNQ1949/PRO4432	UP000005640: Chromosome 15	basolateral plasma membrane [GO:0016323]
A6H8Y1	reviewed	BDP1 KIAA1241 KIAA1689 TFNR	UP000005640: Chromosome 5	nucleoplasm [GO:0005654]; transcription factor TFIIIB complex [GO:0000126]
A6H8Z2	reviewed	FAM221B C9orf128	UP000005640: Chromosome 9	
A6NC98	reviewed	CCDC88B BRLZ	UP000005640: Chromosome 11	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleoplasm [GO:0005654]
A6NCS4	reviewed	NKX2-6 NKX2F	UP000005640: Chromosome 8	chromatin [GO:0000785]; nucleus [GO:0005634]
A6ND01	reviewed	IZUMO1R FOLR4 JUNO	UP000005640: Chromosome 11	external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; microvillus membrane [GO:0031528]; plasma membrane [GO:0005886]
A6ND36	reviewed	FAM83G PAWS1	UP000005640: Chromosome 17	cytosol [GO:0005829]; nucleus [GO:0005634]
A6NDB9	reviewed	PALM3	UP000005640: Chromosome 19	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
A6NDE4	reviewed	RBMY1B	UP000005640: Chromosome Y	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]
A6NDG6	reviewed	PGP	UP000005640: Chromosome 16	cytoplasm [GO:0005737]
A6NDV4	reviewed	TMEM8B C9orf127 NGX6	UP000005640: Chromosome 9	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
A6NED2	reviewed	RCCD1	UP000005640: Chromosome 15	chromosome [GO:0005694]; cytosol [GO:0005829]; plasma membrane [GO:0005886]
A6NEM1	reviewed	GOLGA6L9 GOLGA6L20	UP000005640: Chromosome 15	
A6NFA1	reviewed	TRABD2B HKAT TIKI2	UP000005640: Chromosome 1	organelle membrane [GO:0031090]; plasma membrane [GO:0005886]
A6NFQ2	reviewed	TCAF2 FAM115C FAM139A	UP000005640: Chromosome 7	cell junction [GO:0030054]; plasma membrane [GO:0005886]
A6NFX1	reviewed	MFSD2B	UP000005640: Chromosome 2	plasma membrane [GO:0005886]
A6NFY7	reviewed	SDHAF1 LYRM8	UP000005640: Chromosome 19	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]
A6NGG8	reviewed	PCARE C2orf71	UP000005640: Chromosome 2	cilium [GO:0005929]; cone photoreceptor outer segment [GO:0120199]; photoreceptor inner segment [GO:0001917]; photoreceptor outer segment [GO:0001750]
A6NGQ2	reviewed	OOEP C6orf156 KHDC2 OEP19	UP000005640: Chromosome 6	cell cortex [GO:0005938]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; subcortical maternal complex [GO:0106333]
A6NGU5	reviewed	GGT3P GGT3	UP000005640: Unplaced	extracellular exosome [GO:0070062]; plasma membrane [GO:0005886]
A6NHL2	reviewed	TUBAL3	UP000005640: Chromosome 10	cytoplasm [GO:0005737]; microtubule [GO:0005874]
A6NHR9	reviewed	SMCHD1 KIAA0650	UP000005640: Chromosome 18	Barr body [GO:0001740]; site of double-strand break [GO:0035861]
A6NHX0	reviewed	CASTOR2 GATSL1 GATSL2	UP000005640: Chromosome 7	cytosol [GO:0005829]
A6NI15	reviewed	MSGN1	UP000005640: Chromosome 2	chromatin [GO:0000785]; nucleus [GO:0005634]
A6NI61	reviewed	MYMK TMEM226 TMEM8C	UP000005640: Chromosome 9	Golgi membrane [GO:0000139]; plasma membrane [GO:0005886]
A6NI73	reviewed	LILRA5 ILT11 LILRB7 LIR9	UP000005640: Chromosome 19	cell surface [GO:0009986]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]
A6NIH7	reviewed	UNC119B	UP000005640: Chromosome 12	ciliary transition zone [GO:0035869]; cilium [GO:0005929]; cytosol [GO:0005829]
A6NIX2	reviewed	WTIP	UP000005640: Chromosome 19	adherens junction [GO:0005912]; nucleus [GO:0005634]; P-body [GO:0000932]; transcription regulator complex [GO:0005667]
A6NJ46	reviewed	NKX6-3	UP000005640: Chromosome 8	chromatin [GO:0000785]; nucleus [GO:0005634]
A6NJ78	reviewed	METTL15 METT5D1	UP000005640: Chromosome 11	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
A6NK06	reviewed	ACOD1 IRG1	UP000005640: Chromosome 13	mitochondrion [GO:0005739]
A6NK58	reviewed	LIPT2	UP000005640: Chromosome 11	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
A6NK89	reviewed	RASSF10	UP000005640: Chromosome 11	centrosome [GO:0005813]; cytosol [GO:0005829]; spindle pole [GO:0000922]
A6NKB5	reviewed	PCNX2 KIAA0435 PCNXL2	UP000005640: Chromosome 1	membrane [GO:0016020]
A6NMZ7	reviewed	COL6A6	UP000005640: Chromosome 3	collagen trimer [GO:0005581]; collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]
A6NNB3	reviewed	IFITM5	UP000005640: Chromosome 11	cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886]
A6NNM8	reviewed	TTLL13 TTLL13P	UP000005640: Chromosome 15	cilium [GO:0005929]; cytosol [GO:0005829]; microtubule [GO:0005874]
A6NNN8	reviewed	SLC38A8	UP000005640: Chromosome 16	axon [GO:0030424]; cell cortex [GO:0005938]; membrane [GO:0016020]
A6NNY8	reviewed	USP27X USP22L USP27	UP000005640: Chromosome X	cytosol [GO:0005829]; nucleus [GO:0005634]
A6NNZ2	reviewed	TUBB8B	UP000005640: Chromosome 18	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; intercellular bridge [GO:0045171]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; mitotic spindle [GO:0072686]
A6PVC2	reviewed	TTLL8	UP000005640: Chromosome 22	axoneme [GO:0005930]; cilium [GO:0005929]; cytosol [GO:0005829]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; sperm flagellum [GO:0036126]
A7E2V4	reviewed	ZSWIM8 KIAA0913	UP000005640: Chromosome 10	Cul2-RING ubiquitin ligase complex [GO:0031462]; Cul3-RING ubiquitin ligase complex [GO:0031463]; cytosol [GO:0005829]
A7E2Y1	reviewed	MYH7B KIAA1512	UP000005640: Chromosome 20	cytoplasm [GO:0005737]; membrane [GO:0016020]; myosin filament [GO:0032982]; myosin II complex [GO:0016460]
A7KAX9	reviewed	ARHGAP32 GRIT KIAA0712 RICS	UP000005640: Chromosome 11	actin cytoskeleton [GO:0015629]; cell cortex [GO:0005938]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; endoplasmic reticulum membrane [GO:0005789]; endosome membrane [GO:0010008]; fibrillar center [GO:0001650]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; nucleoplasm [GO:0005654]; postsynaptic density [GO:0014069]
A7MCY6	reviewed	TBKBP1 KIAA0775 SINTBAD	UP000005640: Chromosome 17	cytoplasm [GO:0005737]; serine/threonine protein kinase complex [GO:1902554]
A7MD48	reviewed	SRRM4 KIAA1853	UP000005640: Chromosome 12	nucleus [GO:0005634]
A7XYQ1	reviewed	SOBP JXC1	UP000005640: Chromosome 6	nucleus [GO:0005634]
A8CG34	reviewed	POM121C	UP000005640: Chromosome 7	endoplasmic reticulum membrane [GO:0005789]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nucleoplasm [GO:0005654]
A8K0Z3	reviewed	WASHC1 FAM39E WASH1	UP000005640: Chromosome 9	autophagosome [GO:0005776]; centriole [GO:0005814]; cytosol [GO:0005829]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; late endosome [GO:0005770]; recycling endosome [GO:0055037]; recycling endosome membrane [GO:0055038]; WASH complex [GO:0071203]
A8K2U0	reviewed	A2ML1 CPAMD9	UP000005640: Chromosome 12	extracellular exosome [GO:0070062]; extracellular space [GO:0005615]
A8K4G0	reviewed	CD300LB CD300B CLM7 CMRF35A2 IREM3 LMIR5 TREM5 UNQ2530/PRO6029	UP000005640: Chromosome 17	plasma membrane [GO:0005886]
A8K7I4	reviewed	CLCA1 CACC1	UP000005640: Chromosome 1	extracellular region [GO:0005576]; microvillus [GO:0005902]; plasma membrane [GO:0005886]; zymogen granule membrane [GO:0042589]
A8K830	reviewed	POU2AF3 C11orf93 CASC13 COLCA2	UP000005640: Chromosome 11	cytoplasm [GO:0005737]; nucleus [GO:0005634]
A8K8P3	reviewed	SFI1 KIAA0542	UP000005640: Chromosome 22	centriole [GO:0005814]; cytosol [GO:0005829]
A8K8V0	reviewed	ZNF785	UP000005640: Chromosome 16	nucleus [GO:0005634]
A8MPY1	reviewed	GABRR3	UP000005640: Chromosome 3	chloride channel complex [GO:0034707]; GABA-A receptor complex [GO:1902711]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; synapse [GO:0045202]; transmembrane transporter complex [GO:1902495]
A8MQ03	reviewed	CYSRT1 C9orf169	UP000005640: Chromosome 9	cornified envelope [GO:0001533]; extracellular exosome [GO:0070062]
A8MQ27	reviewed	NEURL1B NEURL3	UP000005640: Chromosome 5	actin cytoskeleton [GO:0015629]; cytosol [GO:0005829]; early endosome [GO:0005769]
A8MT69	reviewed	CENPX FAAP10 MHF2 STRA13	UP000005640: Chromosome 17	chromatin [GO:0000785]; cytosol [GO:0005829]; FANCM-MHF complex [GO:0071821]; Fanconi anaemia nuclear complex [GO:0043240]; inner kinetochore [GO:0000939]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
A8MTA8	reviewed	CIMIP2B FAM166B	UP000005640: Chromosome 9	axonemal microtubule [GO:0005879]
A8MTJ3	reviewed	GNAT3	UP000005640: Chromosome 7	acrosomal vesicle [GO:0001669]; apical plasma membrane [GO:0016324]; axoneme [GO:0005930]; cytoplasm [GO:0005737]; heterotrimeric G-protein complex [GO:0005834]; photoreceptor inner segment [GO:0001917]; photoreceptor outer segment [GO:0001750]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]
A8MTJ6	reviewed	FOXI3	UP000005640: Chromosome 2	nucleus [GO:0005634]
A8MTQ0	reviewed	NOTO	UP000005640: Chromosome 2	chromatin [GO:0000785]; nucleus [GO:0005634]
A8MTZ0	reviewed	BBIP1 BBIP10 NCRNA00081	UP000005640: Chromosome 10	BBSome [GO:0034464]; ciliary membrane [GO:0060170]; cytoplasm [GO:0005737]; cytosol [GO:0005829]
A8MU46	reviewed	SMTNL1	UP000005640: Chromosome 11	contractile muscle fiber [GO:0043292]; cytoplasm [GO:0005737]; filamentous actin [GO:0031941]; I band [GO:0031674]; M band [GO:0031430]; microtubule organizing center [GO:0005815]; nucleus [GO:0005634]
A8MUP2	reviewed	CSKMT METTL12	UP000005640: Chromosome 11	mitochondrion [GO:0005739]
A8MV65	reviewed	VGLL3	UP000005640: Chromosome 3	nucleus [GO:0005634]
A8MVW5	reviewed	HEPACAM2 MIKI UNQ305/PRO346	UP000005640: Chromosome 7	centrosome [GO:0005813]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; nucleoplasm [GO:0005654]; spindle [GO:0005819]
A8MW92	reviewed	PHF20L1 CGI-72	UP000005640: Chromosome 8	NSL complex [GO:0044545]; nucleoplasm [GO:0005654]
A8MW95	reviewed	BECN2 BECN1L1 BECN1P1	UP000005640: Chromosome 1	phagophore assembly site [GO:0000407]; phosphatidylinositol 3-kinase complex, class III, type I [GO:0034271]; phosphatidylinositol 3-kinase complex, class III, type II [GO:0034272]
A8MW99	reviewed	MEI4	UP000005640: Chromosome 6	chromosome [GO:0005694]; lateral element [GO:0000800]
A8MXD5	reviewed	GRXCR1 DFNB25	UP000005640: Chromosome 4	kinocilium [GO:0060091]; microvillus [GO:0005902]; stereocilium [GO:0032420]
A8MXV4	reviewed	NUDT19	UP000005640: Chromosome 19	cytosol [GO:0005829]; peroxisomal matrix [GO:0005782]
